Designator,Mid X,Mid Y,Rotation,Layer
J1,76.2,-77.47,0.0,top
J10,95.25,-113.03,90.0,top
J2,64.77,-77.47,0.0,top
J3,68.58,-77.47,0.0,top
J4,99.06,-77.47,180.0,top
J5,106.68,-77.47,180.0,top
J6,110.49,-77.47,180.0,top
J7,82.55,-110.49,90.0,top
J8,82.55,-113.03,90.0,top
J9,95.25,-110.49,90.0,top
PWR,66.3725,-110.49,0.0,top
R1,70.2075,-110.49,180.0,top
SW1,107.95,-111.76,0.0,top
